epoch,hcoatnet_train_acc,hcoatnet_val_acc,hcoatnet_train_loss,hcoatnet_val_loss,coatnet_train_acc,coatnet_val_acc,coatnet_train_loss,coatnet_val_loss,swin_train_acc,swin_val_acc,swin_train_loss,swin_val_loss,gft_train_acc,gft_val_acc,gft_train_loss,gft_val_loss,vit_train_acc,vit_val_acc,vit_train_loss,vit_val_loss,cnn_train_acc,cnn_val_acc,cnn_train_loss,cnn_val_loss,efficientnet_train_acc,efficientnet_val_acc,efficientnet_train_loss,efficientnet_val_loss
1,0.4158,0.7078,1.4446,1.0938,0.7814,0.7792,0.6053,0.4979,0.373,0.4156,1.5168,1.3566,0.3063,0.4091,1.5801,1.4608,0.4203,0.5714,1.41,1.1468,0.4271,0.526,1.3295,1.1731,0.2464,0.2792,2.1014,1.7028
2,0.7172,0.8052,1.0286,0.8549,0.9249,0.8377,0.2223,0.4239,0.49,0.5714,1.2659,1.1375,0.4675,0.461,1.4022,1.4103,0.5118,0.6039,1.2112,1.0517,0.5196,0.6039,1.1876,1.0813,0.2801,0.2662,1.9458,1.4313
3,0.791,0.8117,0.873,0.8221,0.9745,0.8766,0.0769,0.5911,0.5592,0.5779,1.1214,1.023,0.5696,0.6623,1.1818,1.0271,0.5546,0.6364,1.117,1.0467,0.5624,0.5909,1.1191,1.0304,0.2901,0.2792,1.8063,1.3768
4,0.862,0.8701,0.7325,0.7735,0.9809,0.9026,0.0539,0.5558,0.5829,0.6364,1.0536,0.9873,0.5769,0.5455,1.1726,1.1488,0.5865,0.6104,1.0566,0.9966,0.5738,0.6299,1.0727,1.0075,0.3374,0.3442,1.7758,1.7561
5,0.9135,0.8442,0.6375,0.8295,0.9954,0.8701,0.0143,0.5234,0.6107,0.6299,0.9912,0.9292,0.5934,0.6234,1.0828,0.9319,0.5874,0.6429,1.0359,0.9475,0.592,0.5909,1.04,1.0898,0.3711,0.474,1.5357,1.317
6,0.9321,0.8766,0.5946,0.7795,0.9863,0.8506,0.0408,0.7116,0.627,0.6623,0.9605,0.9023,0.6946,0.6558,0.9019,0.8987,0.6184,0.6299,0.9842,0.9172,0.6025,0.6234,1.0108,0.9667,0.4021,0.461,1.5385,1.3279
7,0.954,0.8117,0.5424,0.8853,0.9891,0.8961,0.0311,0.742,0.6539,0.6623,0.8785,0.907,0.7253,0.6558,0.8241,0.8731,0.6298,0.5909,0.9485,0.9896,0.6339,0.6429,0.9787,0.9189,0.4158,0.5455,1.4559,1.1839
8,0.9636,0.8506,0.5205,0.8153,0.9968,0.8896,0.0117,0.7387,0.6758,0.6688,0.8299,0.9016,0.7239,0.6948,0.7722,0.8302,0.6566,0.6234,0.8831,0.9592,0.6512,0.6494,0.9423,0.8918,0.4362,0.513,1.456,1.3532
9,0.9658,0.8766,0.5108,0.7631,0.9959,0.8961,0.0075,0.7343,0.7022,0.6688,0.7674,0.7953,0.7321,0.6753,0.7761,0.872,0.6548,0.6494,0.8748,0.8933,0.6544,0.6429,0.9285,0.8785,0.459,0.5649,1.3787,1.1371
10,0.9809,0.9026,0.4902,0.7508,0.9977,0.9026,0.004,0.8125,0.7127,0.6364,0.7161,0.8522,0.7866,0.7208,0.6481,0.8891,0.6749,0.6688,0.8365,0.9372,0.6644,0.6494,0.8942,0.8545,0.4517,0.513,1.3622,1.1361
11,0.9868,0.8766,0.4695,0.7574,0.9973,0.9026,0.0054,0.8031,0.7395,0.6688,0.6614,0.8747,0.7908,0.7338,0.6382,0.7544,0.6753,0.6429,0.8292,0.9622,0.6653,0.5974,0.8943,1.0012,0.4977,0.6169,1.2845,1.1251
12,0.985,0.8961,0.4716,0.7546,0.9968,0.8961,0.0076,0.9346,0.7609,0.6948,0.6239,0.8134,0.8159,0.7078,0.5503,0.7741,0.6935,0.6104,0.7939,0.9992,0.6767,0.6104,0.8698,0.9359,0.5027,0.5649,1.2417,1.0894
13,0.9813,0.8636,0.4877,0.7937,0.9809,0.8636,0.0748,0.7961,0.7987,0.7078,0.5466,0.8254,0.8407,0.7532,0.5054,0.6899,0.6985,0.6558,0.7717,0.895,0.6881,0.6883,0.8419,0.8072,0.5068,0.6169,1.2526,1.0051
14,0.9768,0.8701,0.4907,0.7812,0.9927,0.8766,0.0188,0.8294,0.7964,0.7403,0.5152,0.8733,0.7715,0.6883,0.7027,0.8277,0.7108,0.6688,0.7409,0.8301,0.6967,0.6883,0.8321,0.8189,0.5291,0.6299,1.2218,1.1007
15,0.9791,0.8636,0.4848,0.7808,0.9936,0.8831,0.0129,0.8647,0.8352,0.7727,0.4467,0.8299,0.7697,0.7532,0.6051,0.756,0.7286,0.6299,0.6922,0.9903,0.6853,0.6429,0.8263,0.8589,0.5255,0.6494,1.197,1.0039
